,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5803,4856.0,7010.0,5350.0,4498.0,6473,6049,5167,7366
2,  ,,,,,,,,,,
3, Swiss,,5972,5022.0,7221.0,5533.0,4656.0,6596,6277,5364,7724
4,  ,,,,,,,,,,
5, Foreigners,,5377,4506.0,6419.0,4775.0,4133.0,5919,5613,4831,6607
6,,,,,,,,,,,
7, Short-term permit (L),,5070,3843.0,6188.0,3926.0,3510.0,5189,5405,4230,6274
8, Temporary residence permit (B) ,,4954,4188.0,6039.0,4526.0,3951.0,5967,5091,4352,6056
9, Permanent residence permit (C) ,,5508,4667.0,6480.0,4814.0,4220.0,5895,5775,5053,6673
10, Cross-border worker (G) ,,5578,4723.0,6679.0,4963.0,4321.0,5910,5840,4957,6971
11, Other,,4387,3639.0,5702.0,4548.0,3804.0,5894,[4 310] ,[3 639] ,[5 630] 
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
