,Unnamed: 0,Unnamed: 1,ohne Migrations-hintergrund,mit Migrations-hintergrund 4),Gemischt mit/ohne Migrationshintergrund 4)
2,Total,16.0324,15.3215,16.9471,16.4027
3,  Einpersonenhaushalte,16.2447,15.5743,17.5175,*
4,  Paare ohne Kinder,16.0622,15.3719,16.9679,16.8467
5,  Paare mit Kind(ern),15.8716,14.7637,16.6204,16.0166
6,  Einelternhaushalte,15.2012,14.5884,16.086,*
7,  Nichtfamilienhaushalte mit mehreren Personen,16.8299,16.2614,17.6872,17.0825
8,  Mehrfamilienhaushalte,14.739,13.3525,15.1781,12.4549
10,Genferseeregion,,,,
11,  Einpersonenhaushalte,17.429,16.0191,19.1224,*
12,  Paare ohne Kinder,16.8666,15.439,17.985,17.7795
13,  Paare mit Kind(ern),17.4006,16.007,18.0258,17.3492
14,  Einelternhaushalte,16.655,15.9252,17.3408,*
15,  Nichtfamilienhaushalte mit mehreren Personen,17.7791,15.9394,19.1178,17.4355
16,  Mehrfamilienhaushalte,16.4604,12.4091,17.0716,15.9338
18,Espace Mittelland,,,,
19,  Einpersonenhaushalte,14.094,13.9055,14.7643,*
20,  Paare ohne Kinder,14.332,14.076,14.7029,15.3284
21,  Paare mit Kind(ern),14.0272,13.526,14.5576,13.8242
22,  Einelternhaushalte,13.3899,13.1975,13.7611,*
23,  Nichtfamilienhaushalte mit mehreren Personen,14.9668,14.6909,15.9888,14.8507
24,  Mehrfamilienhaushalte,13.9568,12.445,13.9991,14.8317
26,Nordwestschweiz,,,,
27,  Einpersonenhaushalte,16.1009,15.6174,17.0014,*
28,  Paare ohne Kinder,15.9278,15.4506,16.6049,16.1029
29,  Paare mit Kind(ern),15.7483,14.7508,16.3782,15.5234
30,  Einelternhaushalte,15.0296,14.2795,16.0042,*
31,  Nichtfamilienhaushalte mit mehreren Personen,15.9578,15.8919,16.3001,15.4045
32,  Mehrfamilienhaushalte,13.7018,12.2577,13.8918,13.0598
34,Zürich,,,,
35,  Einpersonenhaushalte,19.4254,18.6882,20.656,*
36,  Paare ohne Kinder,18.799,18.1111,19.5722,19.3248
37,  Paare mit Kind(ern),18.0125,16.8499,18.6794,18.3132
38,  Einelternhaushalte,17.1628,16.4433,18.2698,*
39,  Nichtfamilienhaushalte mit mehreren Personen,19.3178,18.8516,20.0785,19.0336
40,  Mehrfamilienhaushalte,15.9361,15.5144,17.5239,8.7507
42,Ostschweiz,,,,
43,  Einpersonenhaushalte,14.2,13.9,14.6,*
44,  Paare ohne Kinder,13.8,13.6,14.1,14.2
45,  Paare mit Kind(ern),13.6,13.1,13.9,13.6
46,  Einelternhaushalte,13.0,12.9,13.4,*
47,  Nichtfamilienhaushalte mit mehreren Personen,14.4,14.4,14.0,16.6
48,  Mehrfamilienhaushalte,12.2,8.4,12.4,13.5
50,Zentralschweiz,,,,
51,  Einpersonenhaushalte,16.5,16.1,17.9,*
52,  Paare ohne Kinder,16.3,15.7,17.5,17.3
53,  Paare mit Kind(ern),15.6,14.7,16.6,15.6
54,  Einelternhaushalte,15.0,14.4,16.5,*
55,  Nichtfamilienhaushalte mit mehreren Personen,16.5,15.9,18.3,16.7
56,  Mehrfamilienhaushalte,14.2,17.5,13.7,16.9
58,Tessin,,,,
59,  Einpersonenhaushalte,13.2,12.9,13.5,*
60,  Paare ohne Kinder,13.5,13.1,13.7,14.2
61,  Paare mit Kind(ern),13.9,12.9,14.5,13.8
62,  Einelternhaushalte,14.2,14,14.3,*
63,  Nichtfamilienhaushalte mit mehreren Personen,14.3,13.4,14.6,13.6
64,  Mehrfamilienhaushalte,16.0,X,15.1,X
