,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5651,4506.0,7210.0,5019,4203,6587,6092.0,4917.0,7689.0
2,  ,,,,,,,,,,
3, Swiss,,5869,4647.0,7399.0,5221,4335,6707,6400.0,5127.0,8029.0
4,  ,,,,,,,,,,
5, Foreigners,,5238,4251.0,6717.0,4579,3817,6151,5632.0,4640.0,6970.0
6,,,,,,,,,,,
7, Short-term permit (L),,5305,4080.0,7081.0,4349,3059,6386,5667.0,4399.0,7428.0
8, Temporary residence permit (B) ,,5132,4168.0,6922.0,4715,3814,6699,5336.0,4373.0,7095.0
9, Permanent residence permit (C) ,,5240,4265.0,6591.0,4502,3765,5766,5730.0,4759.0,6864.0
10, Cross-border worker (G) ,,5608,4662.0,7009.0,4841,4233,6128,5894.0,4962.0,7463.0
11, Other,,3876,3510.0,4656.0,[3 667] ,[1 861] ,[4 627] ,3921.0,3569.0,4715.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
