,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5773,4818.0,6825.0,5319,4416,6386,5987.0,5135.0,7119.0
2,  ,,,,,,,,,,
3, Swiss,,5926,4981.0,7029.0,5510,4565,6531,6165.0,5325.0,7436.0
4,  ,,,,,,,,,,
5, Foreigners,,5326,4471.0,6245.0,4711,4066,5765,5558.0,4788.0,6407.0
6,,,,,,,,,,,
7, Short-term permit (L),,4997,3916.0,5955.0,[3 916] ,[3 389] ,[4 977] ,5309.0,4090.0,6028.0
8, Temporary residence permit (B) ,,4964,4190.0,5964.0,4526,3911,5847,5109.0,4390.0,5992.0
9, Permanent residence permit (C) ,,5447,4627.0,6323.0,4767,4141,5779,5702.0,4995.0,6500.0
10, Cross-border worker (G) ,,5417,4592.0,6363.0,4800,4172,5675,5682.0,4888.0,6615.0
11, Other,,5014,4014.0,5921.0,4324,3430,5484,5267.0,4109.0,6052.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
