,Unnamed: 0,Unnamed: 1, Median, Quartile range,Unnamed: 4, Median.1, Quartile range.1,Unnamed: 7, Median.2, Quartile range.2,Unnamed: 10
0,,,,,,,,,,,
1, TOTAL ,,5921,4772.0,7379.0,5374,4459,6864,6282.0,5166.0,7794.0
2,  ,,,,,,,,,,
3, Swiss,,6136,4951.0,7559.0,5620,4633,7000,6584.0,5398.0,8113.0
4,  ,,,,,,,,,,
5, Foreigners,,5534,4498.0,6955.0,4826,4135,6468,5849.0,4860.0,7175.0
6,,,,,,,,,,,
7, Short-term permit (L),,5471,4444.0,6734.0,[4 473] ,[3 650] ,[6 588] ,5568.0,4882.0,6746.0
8, Temporary residence permit (B) ,,5284,4294.0,7059.0,4862,4034,6795,5514.0,4509.0,7221.0
9, Permanent residence permit (C) ,,5595,4584.0,6872.0,4782,4170,6189,5967.0,5060.0,7136.0
10, Cross-border worker (G) ,,5860,4808.0,7263.0,5035,4385,6469,6157.0,5178.0,7579.0
11, Other,,4234,3784.0,5709.0,4329,3796,5773,4162.0,3774.0,5590.0
12,,,,,,,,,,,
13,,,,,,,,,,,
14, Standardized monthly wage:,,Full-time equivalent based on 40 hours a week and 4 1/3 weeks a month.,,,,,,,,
15,,,,,,,,,,,
16, Professional position:,,"1+2 = Top, upper and middle management",,,,,4 = Lowest management level  ,,,
17,,,3 = Lower management   ,,,,,No management function   ,,,
18,,,,,,,,,,,
19, Median:,,"For half of the jobs, the standardized wage is above the given middle value (median), and for the other half below it.   ",,,,,,,,
20,,,,,,,,,,,
21, Quartile range:,,"For 50 % of the jobs, the standardized wage lie in the range given.  A quarter of the standardized wage lies below",,,,,,,,
22, (middle 50 % of the data): ,,or above the range shown.,,,,,,,,
